date,time,comp_level_ft,temperature,year,month,wy
2024-11-17,14:15:49,1.2828083989501313,14.1,2024,11,2025
2024-11-17,14:30:49,1.2860892388451444,14.2,2024,11,2025
2024-11-17,14:45:49,1.2893700787401576,14.2,2024,11,2025
2024-11-17,15:00:49,1.2828083989501313,14.2,2024,11,2025
2024-11-17,15:15:49,1.2860892388451444,14.3,2024,11,2025
2024-11-17,15:30:49,1.2893700787401576,14.3,2024,11,2025
2024-11-17,15:45:49,1.2926509186351707,14.3,2024,11,2025
2024-11-17,16:00:49,1.3057742782152233,14.4,2024,11,2025
2024-11-17,16:15:49,1.30249343832021,14.4,2024,11,2025
2024-11-17,16:30:49,1.2926509186351707,14.4,2024,11,2025
2024-11-17,16:45:49,1.2893700787401576,14.4,2024,11,2025
